vo2,vco2,ve,va,vq_global,po2_art,so2_art,ph_art,pco2_art,mean_qt_1,mean_qt_2,log_sd_1,log_sd_2,qt_ratio,distance,solution,qt,shunt,fio2,hb,be,dead_space,po2_ven,pco2_ven
251.71738124795286,250.91038747334906,7.564948890592934,5.2954642234150535,1.0590928446830108,92.0,96.91131892482579,7.384382894727781,42.54169968461757,1.0390343604428336,0.7202289622931413,0.44,1.62,0.0,2.4752050035996,36.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
254.4298959077704,253.0887846434169,7.52555347485201,5.267887432396407,1.053577486479281,94.0,97.10130815665015,7.384656827199315,42.48330410836354,1.0895564643990148,0.10450703751178067,0.32,0.75,0.005,4.277892755517244,37.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
246.06839653106914,243.32952024643822,7.457076677177207,5.219953674024044,1.0439907348048088,87.0,96.35351938950166,7.383038939015124,42.77848965406715,0.902432616341675,1.0222140419742873,0.435,0.615,0.915,3.239149197740201,38.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
244.8403081833515,216.55847030408566,6.275048689291058,4.39253408250374,0.878506816500748,87.0,96.2862510311605,7.376415158471116,43.8070918169332,0.9647425249465181,0.6199964984780936,0.355,0.46,0.205,3.006195863062507,39.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
243.1576166506158,224.51767449813394,6.671194691441334,4.669836284008934,0.9339672568017867,86.0,96.18277850129655,7.378581118215489,43.481088084159424,0.8644264771655888,0.9268585040370428,0.515,0.495,0.81,4.033518262807464,40.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
252.59729694560136,236.4400103857129,6.915791697248578,4.841054188074004,0.9682108376148006,93.0,96.97650580555624,7.380659242196193,43.10601493432318,0.9967530121049328,31.667475542771093,0.325,1.32,0.0,3.1303688756523878,41.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
249.15018758202834,239.79544033862402,7.29489604107333,5.106427228751331,1.0212854457502663,90.0,96.68443584699538,7.381864524250005,42.94262588770067,0.899758677920081,1.5602249595847468,0.37,0.65,0.1,1.0573741122993283,42.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
246.17573161979465,229.8829549153112,6.8225769103218585,4.7758038372253,0.9551607674450601,88.0,96.43907431723795,7.379637311347743,43.30054549775182,0.9200079712736329,0.9561922155460022,0.495,0.37,0.4,2.118781867185777,43.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
246.87846569959024,237.76847067756393,7.184260005457089,5.028982003819962,1.0057964007639921,88.0,96.45789454233753,7.381560292535089,43.00064853900852,1.1173880629470125,0.6727126168125817,0.49,0.31,0.7,2.2357780172874495,44.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
244.55558811493,234.99877761781073,8.259101150587233,5.781370805411063,1.156274161082213,86.0,96.21049835176358,7.3812192819133475,43.074861057586745,0.8219009629034152,2.2408533738414276,0.355,1.19,0.035,4.1055915606364835,45.0,5.0,0.02,0.21,14.0,0.0,0.3,40.0,50.0
